id,name,latitude,longitude,total_docks,street_address
3165,24th & Race SRT,39.95819,-75.1782,22,2317 Race St
3166,Frankford & Belgrade,39.97195,-75.13445,22,1400 Frankford Ave
3169,2nd & Race,39.95382,-75.14263,17,151 Race St
3181,Crescent Park,39.89629,-75.17514,20,"Crescent Park, Crescent Drive"
3183,15th & Kitty Hawk,39.88994,-75.17679,20,S. 15th & Kitty Hawk Ave
3184,Health Sciences Drive,39.94573,-75.19551,22,Health Sciences Drive
3185,11th & Market ,39.95169,-75.15888,21,11th & Market
3187,20th & Race,39.95725,-75.17232,19,20th & Race
3188,"Broad & Pattison, BSL",39.90471,-75.1734,56,3701 Broad Street
3196,25th & Diamond,39.98717,-75.17477,17,2501 Diamond Street
3197,Broad & Ritner,39.92083,-75.17033,23,2301 S Broad St.
3200,Ridge & Master,39.97583,-75.16846,17,2001 Ridge Ave.
3201,16th & Arch,39.95523,-75.1662,20,107 16th Street
3203,18th & Christian,39.94077,-75.17227,20,1798 Christian St
3204,17th & Green,39.96437,-75.16582,22,1698 Green St
3205,17th & JFK,39.95405,-75.16783,22,1617 John F. Kennedy Blvd
3207,34th & Chestnut,39.95441,-75.192,20,3400 Chestnut St
3208,34th & Spruce,39.95048,-75.19324,28,3566 Spruce St
3209,45th & Baltimore,39.949,-75.21278,14,980 45th St
3210,Broad & Diamond,39.98492,-75.15668,18,2108 N Broad St
3211,Corinthian & Poplar,39.97172,-75.1706,22,900 Corinthian Ave
3212,Schuylkill Banks Pergola,39.96383,-75.18177,32,Schuylkill River Trail
3213,Broad & Carpenter,39.93887,-75.16663,25,1000 S Broad St
3226,2nd & Norris,39.98101,-75.13721,18,2007 N 2nd St.
3235,16th & Callowhill,39.96,-75.1651,15,1500-1598 Callowhill Street
3236,24th & Pennsylvania ,39.96566,-75.17765,18,2400 Pennsylvania Avenue
3237,Broad & Oregon,39.91717,-75.17096,21,2621 Broad Street
3238,Aramingo & Cumberland,39.97674,-75.11995,11,2645 E Cumberland St
3240,44th & Haverford,39.96277,-75.21185,12,44th & Haverford
3241,"52nd & Larchwood, Malcolm X Park",39.95225,-75.22637,20,5100 Pine St
3243,8th & Diamond,39.9835,-75.14743,12,800 Diamond Street
3245,Broad & Cecil B. Moore,39.97887,-75.15777,20,1701 N Broad Street
3246,50th & Baltimore,39.94782,-75.22301,17,700 S 50th Street
3247,"47th & Aspen, Lucien Blackwell",39.96538,-75.21514,16,4681 Aspen Street
3248,24th & Christian,39.94213,-75.18335,22,2418 Christian Street
3249,34th & Arch,39.95784,-75.19079,22,3383 Arch Street
3250,4th & Wood,39.95673,-75.14575,17,390 Wood Street
3251,29th & Tasker,39.93366,-75.19319,16,2900 Tasker Street
3252,30th & Oakford,39.93882,-75.19324,14,1206 S 30th Street
3253,"26th & Moore, Vare Recreation Center",39.93074,-75.18924,21,2635 Moore Street
3254,16th & Montgomery,39.98091,-75.16065,18,1809 N 16th Street
3255,Broad & Chestnut,39.95095,-75.16438,15,1405 Chestnut Street
3256,23rd & Chestnut,39.95269,-75.17779,23,2223 Chestnut Street
3258,52nd & Chestnut,39.95828,-75.22424,20,5120 Chestnut Street
3259,Saunders & Pearl,39.95998,-75.19883,17,310 Saunders Avenue
3261,2nd & Brown,39.96304,-75.14099,17,735 N 2nd Street
3263,43rd & Powelton,39.9586,-75.2081,18,4261 Powelton Avenue
3264,8th & Spruce,39.94571,-75.15508,23,800 Spruce Street
3265,Powelton & Lancaster,39.95957,-75.19633,13,3760 Powelton Avenue
3266,Water & Mifflin,39.9237,-75.14701,22,1900 S Water Street
3267,19th & Oregon,39.918,-75.1796,12,1905 Oregon Avenue
3268,10th & Oxford,39.97633,-75.15101,22,960 W Oxford St
3271,53rd & Baltimore,39.9476,-75.22946,18,777 S 53rd Street
3272,50th & Haverford,39.96405,-75.22048,13,5011 Haverford Avenue
3275,York & Aramingo,39.97576,-75.12157,22,2641 E York Street
3276,12th & Fairmount,39.96569,-75.15679,18,681 N 12th Street
3277,20th & Berks,39.98306,-75.16738,20,2013 W Berks St
3278,22nd & Sedgley,39.99301,-75.1681,11,2517 N 22nd St
