id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_name,created_at,updated_at,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,scientific_name,common_name
5967712,f2bcffd6-b625-450b-aa52-50a95884a3bf,2017-04-23 0414,2017-04-23,2017-04-23 11:14:00 UTC,Pacific Time (US & Canada),Jacqueline Francis,2017-04-26 15:31:16 UTC,2019-01-12 17:13:50 UTC,34.3387,-119.224944,,,false,Procyon lotor,Common Raccoon
6368285,aaa7b70a-3875-414d-b1fe-62495a0da60d,Fri May 26 2017 08:04:54 GMT-0700 (PDT),2017-05-26,2017-05-26 15:04:54 UTC,Pacific Time (US & Canada),Craig Mackay,2017-05-26 15:07:00 UTC,2019-01-06 22:16:14 UTC,34.2287221776,-119.0752956895,,,false,Procyon lotor,Common Raccoon
6505319,a8f319c4-72d4-4b3a-806d-5c9730f904dc,2017-06-04 9:27:33 PM PDT,2017-06-04,2017-06-05 04:27:33 UTC,Pacific Time (US & Canada),,2017-06-05 06:16:49 UTC,2024-05-15 17:41:09 UTC,34.1632127697,-119.156024381,,,false,Procyon lotor,Common Raccoon
6855931,27344b92-3b83-47ed-a769-0076b0213af3,2017-06-29 5:20:24 PM PDT,2017-06-29,2017-06-30 00:20:24 UTC,Pacific Time (US & Canada),Jess,2017-06-30 03:06:31 UTC,2019-01-06 22:16:51 UTC,34.267780304,-119.2150650024,,,false,Procyon lotor,Common Raccoon
7617555,f32ecc7c-7ceb-46e0-aabf-87e75562f266,2017-08-23 8:44:46 AM PDT,2017-08-23,2017-08-23 15:44:46 UTC,Pacific Time (US & Canada),Jess,2017-08-23 15:46:07 UTC,2019-01-12 18:49:03 UTC,34.34533884,-119.05750543,,,false,Procyon lotor,Common Raccoon
7624364,ec0ca58d-1536-4216-b9cd-a9a212626590,2017-08-23 4:31:03 PM PDT,2017-08-23,2017-08-23 23:31:03 UTC,Pacific Time (US & Canada),Jess,2017-08-23 23:52:07 UTC,2019-01-06 22:18:55 UTC,34.2681541443,-119.2153701782,,,false,Procyon lotor,Common Raccoon
7962789,a5ceaca4-9df7-4b9d-8af7-1caab4ff5478,2017/09/16 4:20 PM PDT,2017-09-16,2017-09-16 23:20:00 UTC,Pacific Time (US & Canada),Trent Barnhart,2017-09-17 16:06:47 UTC,2019-01-06 22:19:33 UTC,34.2316650514,-119.256310164,,,false,Procyon lotor,Common Raccoon
8215793,0be812f2-3552-4ed4-8d14-2a3c4d0b2d53,Sun Oct 01 2017 10:23:12 GMT-0700 (PDT),2017-10-01,2017-10-01 17:23:12 UTC,Pacific Time (US & Canada),Debbie A Parisi,2017-10-02 03:34:46 UTC,2021-09-04 13:11:33 UTC,34.4033,-119.3430333333,,,false,Procyon lotor,Common Raccoon
9364160,13d564c5-31dc-424b-9e3f-bbb2c8e341bb,2018-01-04 9:32:02 AM PST,2018-01-04,2018-01-04 17:32:02 UTC,Pacific Time (US & Canada),Jess,2018-01-04 17:32:55 UTC,2019-01-14 02:43:05 UTC,34.2851452,-118.8247764,,,false,Procyon lotor,Common Raccoon
9670152,87162828-258c-4f8e-9948-c91ec336c7fb,2018/01/29 9:43 PM EST,2018-01-29,2018-01-30 02:43:00 UTC,Eastern Time (US & Canada),Julia and Bryan @ XplorMor International Non-Profit,2018-01-30 18:57:24 UTC,2019-01-14 02:36:50 UTC,34.3957465647,-119.3083531589,,,false,Procyon lotor,Common Raccoon
11297233,339a2a35-8414-4a5d-b4a8-218568537c70,2018-04-21 1:50:29 PM PDT,2018-04-21,2018-04-21 20:50:29 UTC,Pacific Time (US & Canada),Marina,2018-04-22 01:33:02 UTC,2018-06-10 13:44:29 UTC,34.4613227844,-119.2883987427,,,false,Sciuridae,Squirrels
13211266,1457c34b-e2cb-44c9-af9c-3995f2c9aaca,2018-06-07 10:27:00 AM PDT,2018-06-07,2018-06-07 17:27:00 UTC,Pacific Time (US & Canada),Jess,2018-06-07 18:41:02 UTC,2024-11-06 12:12:33 UTC,34.2128244148,-119.25347507,,,false,Procyon lotor,Common Raccoon
13365894,f3f504b2-6561-4de0-85fb-7f41cdaf56e1,2018-06-12 8:49:12 AM PDT,2018-06-12,2018-06-12 15:49:12 UTC,Pacific Time (US & Canada),Jess,2018-06-12 15:49:54 UTC,2018-10-29 07:00:13 UTC,34.46596718,-119.18145979,,,false,Procyon lotor,Common Raccoon
14437038,1532cf3c-472b-4068-aeb2-7db3f134cad4,Mon Jul 16 2018 20:35:00 GMT-0700 (PDT),2018-07-16,2018-07-17 03:35:00 UTC,Pacific Time (US & Canada),"",2018-07-17 05:07:23 UTC,2019-01-20 16:22:33 UTC,34.2245783333,-119.0032416667,,,false,Procyon lotor,Common Raccoon
16320116,f06d8140-16be-442a-8cc4-c53f91145d42,Sat Sep 08 2018 08:36:28 GMT-0700 (PDT),2018-09-08,2018-09-08 15:36:28 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-09-08 15:41:20 UTC,2021-06-14 22:23:10 UTC,34.4079283333,-119.344895,,,false,Procyon lotor,Common Raccoon
16968830,4d519de5-5747-465f-b58c-ecc406217732,2018-09-27 10:29:07 AM PDT,2018-09-27,2018-09-27 17:29:07 UTC,Pacific Time (US & Canada),Jess,2018-09-27 17:30:20 UTC,2024-11-06 12:09:53 UTC,34.2816429138,-118.8131561279,,,false,Procyon lotor,Common Raccoon
17068778,adda6424-6825-4474-81cb-f57bf2502797,Sun Sep 30 2018 10:35:57 GMT-0700 (PDT),2018-09-30,2018-09-30 17:35:57 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-09-30 17:37:22 UTC,2021-06-14 22:23:25 UTC,34.3492966667,-119.0526971667,,,false,Procyon lotor,Common Raccoon
17908793,df41ff76-795e-41f6-a13d-cca39a04bf07,Sun Oct 28 2018 11:03:35 GMT-0700 (PDT),2018-10-28,2018-10-28 18:03:35 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-10-28 18:04:20 UTC,2020-01-17 20:45:09 UTC,34.3922216667,-118.917205,,,false,Procyon lotor,Common Raccoon
18105226,bd9b0c02-5c1e-4a5d-aa7e-3bd8b63fdc5b,Sun Nov 04 2018 10:38:04 GMT-0800 (PST),2018-11-04,2018-11-04 18:38:04 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-11-04 22:57:35 UTC,2020-01-17 20:45:25 UTC,34.3495833333,-119.0529471667,,,false,Procyon lotor,Common Raccoon
18182708,daf78728-035e-462f-9c24-785d142378e4,Sun Nov 05 2017 10:32:51 GMT-0800 (PST),2017-11-05,2017-11-05 18:32:51 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-11-06 23:27:07 UTC,2020-01-17 20:45:27 UTC,34.3495616667,-119.0529555,,,false,Procyon lotor,Common Raccoon
18758104,9673afac-dbfb-4ba7-9dce-55ccd70902aa,Sat Dec 01 2018 10:15:49 GMT-0800 (PST),2018-12-01,2018-12-01 18:15:49 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-12-01 18:17:51 UTC,2020-01-17 20:45:51 UTC,34.34932,-119.0526888333,,,false,Procyon lotor,Common Raccoon
18807197,c6f8a4fb-2038-4cc9-8d25-5c6af06af952,Thu Nov 22 2018 12:52:06 GMT-0800 (PST),2018-11-22,2018-11-22 20:52:06 UTC,Pacific Time (US & Canada),"",2018-12-03 19:23:51 UTC,2019-01-05 15:57:58 UTC,34.2381023729,-119.2593475022,,,false,Procyon lotor,Common Raccoon
19156111,cd7e196a-8f8e-4422-b4d2-e23e00b46117,Sat Dec 22 2018 10:38:49 GMT-0800 (PST),2018-12-22,2018-12-22 18:38:49 UTC,Pacific Time (US & Canada),Debbie A Parisi,2018-12-22 18:40:55 UTC,2020-01-17 20:44:36 UTC,34.3492883333,-119.0527111667,,,false,Procyon lotor,Common Raccoon
19457303,68735b35-5484-4d0d-93d0-8e9db0ec4010,Sat Jan 05 2019 10:56:19 GMT-0800 (PST),2019-01-05,2019-01-05 18:56:19 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-01-06 03:38:49 UTC,2020-01-17 20:44:48 UTC,34.30882,-119.0964666667,,,false,Procyon lotor,Common Raccoon
19556995,1becbed5-18ab-41b7-9cc7-5d3c73e67051,2019-01-10 11:26:30 AM PST,2019-01-10,2019-01-10 19:26:30 UTC,Pacific Time (US & Canada),Jess,2019-01-10 19:55:05 UTC,2019-01-13 00:25:39 UTC,34.2855453491,-118.8271255493,,,false,Procyon lotor,Common Raccoon
19738920,d5dc5ef4-26e7-41b3-a851-73a47c1dbc85,Sat Jan 19 2019 11:10:29 GMT-0800 (PST),2019-01-19,2019-01-19 19:10:29 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-01-19 22:18:20 UTC,2020-01-17 20:44:02 UTC,34.3501633333,-119.0515055,,,false,Procyon lotor,Common Raccoon
19774588,0c007bb6-a86c-483a-8dea-8a96a30a3d1b,Sun Jan 20 2019 12:00:09 GMT-0800 (PST),2019-01-20,2019-01-20 20:00:09 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-01-21 05:05:56 UTC,2020-01-17 20:44:08 UTC,34.3489416667,-119.0540861667,,,false,Procyon lotor,Common Raccoon
19899275,5d2dba4d-bf46-4864-92c6-b3b72f9acff1,Sat Jan 26 2019 10:45:25 GMT-0800 (PST),2019-01-26,2019-01-26 18:45:25 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-01-27 06:02:17 UTC,2020-01-17 20:44:23 UTC,34.4059033333,-119.3404466667,,,false,Procyon lotor,Common Raccoon
