id,listing name,listing name (commas removed),seller,price,refurb,model,rating,size_rating,memory,color,free return,free shipping,style
20,"Apple iPad Pro 13-inch (M5): Ultra Retina XDR Display, 2TB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 7 with Apple N1, Face ID, All-Day Battery Life — Silver",Apple iPad Pro 13-inch (M5): Ultra Retina XDR Display 2TB Landscape 12MP Front Camera/12MP Back Camera LiDAR Scanner Wi-Fi 7 with Apple N1 Face ID All-Day Battery Life — Silver,amazon.com,2141.8,0,pro,4.8,290,2048,silver,1,1,wifi
21,"Apple iPad mini (A17 Pro): Apple Intelligence, 8.3-inch Liquid Retina Display, 512GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",Apple iPad mini (A17 Pro): Apple Intelligence 8.3-inch Liquid Retina Display 512GB Wi-Fi 6E 12MP Front/12MP Back Camera Touch ID All-Day Battery Life — Blue,amazon.com,699,0,mini,4.7,2773,512,blue,1,1,wifi
22,"Apple 2025 iPad Air 13-inch, Wi-Fi, 128GB - Space Gray (Renewed)",Apple 2025 iPad Air 13-inch Wi-Fi 128GB - Space Gray (Renewed),iPower Resale Inc,649,1,air,4.9,30,128,space gray,1,1,wifi
23,"2024 Apple iPad Mini with A17 Pro Chip (8.3-inch, Wi-Fi+Cellular, 128GB) - Space Gray (Renewed)",2024 Apple iPad Mini with A17 Pro Chip (8.3-inch Wi-Fi+Cellular 128GB) - Space Gray (Renewed),Tech Exchangee,384.95,1,mini,4.6,60,128,space gray,1,1,wifi cell
24,"Apple 2025 iPad 11-inch (Wi-Fi, 128GB) - Silver (Renewed)",Apple 2025 iPad 11-inch (Wi-Fi 128GB) - Silver (Renewed),amazon.com,289.95,1,11th gen,4.7,60,128,silver,1,1,wifi
25,"Apple iPad (10.2-inch, Wi-Fi, 32GB) - Silver (Latest Model, 8th Generation) (Renewed)",Apple iPad (10.2-inch Wi-Fi 32GB) - Silver (Latest Model 8th Generation) (Renewed),amazon.com,129,1,8th gen,4.5,710,32,silver,1,1,wifi
26,"Apple iPad Air 2 MH322LL/A (128GB, Wi-Fi + Cellular, Silver) 2014 Model (Renewed)",Apple iPad Air 2 MH322LL/A (128GB Wi-Fi + Cellular Silver) 2014 Model (Renewed),WirelessSource,184,1,air,4.4,199,128,silver,1,1,wifi
27,"Apple iPad Pro 12.9in 64GB WiFi Only, Space Grey (Renewed)",Apple iPad Pro 12.9in 64GB WiFi Only Space Grey (Renewed),The Cellular Resource,240.04,1,pro,4.2,1795,64,space gray,1,1,wifi
28,"Apple iPad Pro Tablet (256GB, Wi-Fi, 9.7in) Gray (Renewed)",Apple iPad Pro Tablet (256GB Wi-Fi 9.7in) Gray (Renewed),Milo Certified Electronics,375.01,1,pro,4.2,1917,256,gray,1,1,wifi
29,"Apple 10.5in iPad Pro 256GB, Wi-Fi, Space Gray MPDY2LL/A (Renewed)",Apple 10.5in iPad Pro 256GB Wi-Fi Space Gray MPDY2LL/A (Renewed),Milo Certified Electronics,219,1,pro,4.2,673,256,space gray,1,1,wifi
